surv,num,modeid,modechos,choiflag,frstpref,rankpref,freq,excpt,timev,timew,apd,op,opb,opw,opc,f1gensvc,f2convac,f3psych,bwlk,stop,trpurpos,age,sex,drivlic,married,famsize,ncars,educ,lres,work,income,ptevop,congevop,freq1,freq2,freqk,busseat,bstdt,cost,nmisop
533,379,3,1,1,1,3,26,0.678,5,0,0,-0.4228,0,0,-0.4228,0.9226,0.2815,-0.0968,0,2,1,6,2,1,1,0,1,5,5,2,1,3,1,0,0,0,0,0,-0.6,6
534,380,1,0,1,0,2,0,-0.414,15,0,0,0.3683,0.3683,0,0,-0.705,-1.9869,-1.3857,1.5,1,1,2,1,2,2,5,3,6,2,4,0,4,5,0,0,0,4,1,1.4,0
534,380,2,1,1,0,1,3,0.118,0,15,0,-0.169,0,-0.169,0,-1.518,1.1794,-1.2449,0,1,1,2,1,2,2,5,3,6,2,4,0,4,5,0,0,0,0,0,1.4,0
534,380,3,0,1,1,3,1,0.696,5,0,1,0.553,0,0,0.553,1.1111,-0.3554,0.0999,0,1,1,2,1,2,2,5,3,6,2,4,0,4,5,0,0,0,0,0,0.6,0
535,381,1,0,1,0,1,0,-0.349,15,0,0,-0.3481,-0.3481,0,0,-1.2812,-0.8194,0.303,-9,2,1,3,2,1,1,5,1,7,5,4,1,3,2,0,0,0,9,3,-0.9,0
535,381,2,0,1,0,2,1,0.815,0,5,0,0.6233,0,0.6233,0,0.3849,0.7112,0.522,0,2,1,3,2,1,1,5,1,7,5,4,1,3,2,0,0,0,0,0,1.7,0
535,381,3,1,1,1,3,16,0.84,3,0,0.5,0.645,0,0,0.645,1.0859,0.6156,-0.3892,0,2,1,3,2,1,1,5,1,7,5,4,1,3,2,0,0,0,0,0,-0.9,0
536,382,1,1,1,0,2,1,-0.014,30,0,0,-0.6627,-0.6627,0,0,-0.5266,-0.338,-0.3243,0.5,2,2,2,2,1,2,1,1,5,5,1,7,2,4,0,0,0,9,1,1.1,0
536,382,2,0,1,0,1,0,0.064,0,45,0,0.4222,0,0.4222,0,-0.8131,-0.0328,0.1037,0,2,2,2,2,1,2,1,1,5,5,1,7,2,4,0,0,0,0,0,1.1,0
536,382,3,0,1,1,3,12,0.764,15,0,1,0.6233,0,0,0.6233,0.7848,0.885,0.0896,0,2,2,2,2,1,2,1,1,5,5,1,7,2,4,0,0,0,0,0,-0.7,0
538,383,1,1,1,1,3,12,0.112,15,0,0,999,999,0,0,0.5065,-1.4962,0.1309,0.5,1,6,6,2,2,0,1,0,4,5,0,0,4,4,1,1,2,7,1,1,11
538,383,2,0,1,0,1,5,-0.393,0,25,0,999,0,999,0,-2.1716,0.2175,-0.1574,0,1,6,6,2,2,0,1,0,4,5,0,0,4,4,0,0,0,0,0,1,11
538,383,3,0,1,0,2,1,0.385,10,0,0,999,0,0,999,0.8798,-0.6742,0.385,0,1,6,6,2,2,0,1,0,4,5,0,0,4,4,0,0,0,0,0,-1.2,11
541,384,1,1,1,0,1,17,1,8,0,0,0.8605,0.8605,0,0,-0.4874,-0.1514,0.567,3,1,5,6,2,2,2,1,0,4,3,5,1,3,4,1,1,2,10,1,1,0
541,384,2,0,1,1,3,28,1,0,20,0,0.5074,0,0.5074,0,0.2982,0.8178,-0.3127,0,1,5,6,2,2,2,1,0,4,3,5,1,3,4,0,0,0,0,0,1,0
541,384,3,0,1,0,2,12,1,5,0,0,0.0834,0,0,0.0834,0.6585,0.6256,-0.4529,0,1,5,6,2,2,2,1,0,4,3,5,1,3,4,0,0,0,0,0,-1.5,0
542,385,1,0,1,0,2,1,0.432,20,0,0,0.2107,0.2107,0,0,0.463,-0.4899,-0.2697,0.5,1,6,6,2,1,2,1,1,4,5,3,3,2,2,0,0,0,10,1,0.8,1
542,385,2,0,1,0,1,0,0.073,0,40,0,-0.1076,0,-0.1076,0,-1.0862,0.1556,-0.37,0,1,6,6,2,1,2,1,1,4,5,3,3,2,2,0,0,0,0,0,0.8,1
542,385,3,1,1,1,3,9,0.643,11,0,1,1.1701,0,0,1.1701,0.7459,0.382,-0.428,0,1,6,6,2,1,2,1,1,4,5,3,3,2,2,0,0,0,0,0,-0.4,1
543,386,1,1,1,1,3,6,1,5,0,0,999,999,0,0,1.3767,0.2395,0.3659,0.5,2,4,6,2,2,1,5,2,3,5,3,1,2,2,1,0,1,10,1,0.8,12
543,386,2,0,1,0,1,0,-0.474,0,-9,0,999,0,999,0,-2.5459,0.0832,0.105,0,2,4,6,2,2,1,5,2,3,5,3,1,2,2,0,0,0,0,0,1.1,12
543,386,3,0,1,0,2,0,0.435,-9,0,1,999,0,0,999,0.3103,0.1054,0.0304,0,2,4,6,2,2,1,5,2,3,5,3,1,2,2,0,0,0,0,0,-0.8,12
